experiment,workload,sweep,value,trace,config.cpu.frequency_ghz,config.cpu.issue_width,config.cpu.base_cpi,config.cpu.mshrs,config.l1.size_kb,config.l1.line_size,config.l1.associativity,config.l1.latency_cycles,config.l2.size_kb,config.l2.line_size,config.l2.associativity,config.l2.latency_cycles,config.memory.latency_cycles,config.memory.bandwidth_gbps,instructions,cycles,ipc,cpi,seconds,memory_instructions,dependent_loads,l1.accesses,l1.hits,l1.misses,l1.hit_rate,l1.writebacks,l1.writebacks_in,l2.accesses,l2.hits,l2.misses,l2.hit_rate,l2.writebacks,l2.writebacks_in,memory.reads,memory.writes,memory.bytes_read,memory.bytes_written,memory.queue_delay_cycles,average_memory_latency,average_outstanding_misses,achieved_bandwidth_gbps,bandwidth_utilization,compute_cycles,stall_cycles.l1,stall_cycles.l2,stall_cycles.dram,stall_cycles.bandwidth,stall_cycles.mshr,stall_cycles.total,stall_fraction,bottleneck.name,bottleneck.detail,bottleneck.suggestions,simulator.records,simulator.wall_seconds,simulator.records_per_second,stall_share.l1,stall_share.l2,stall_share.dram,stall_share.bandwidth,stall_share.mshr,stall_share.compute
bandwidth,sequential,memory.bandwidth_gbps,3,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,3,4000000,9333518,0.4285629491,2.3333795,0.002666719429,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,124784887,152.784887,15.99449286,2.999940644,0.9999802147,1000000,0,0,197,6962445,1370876,8333518,0.8928592627,DRAM bandwidth,"DRAM is delivering 99% of its configured bandwidth, so requests are queueing behind the bus.",Increase memory.bandwidth_gbps; Reduce DRAM traffic by improving locality (blocking/tiling); Increase last-level cache capacity to filter traffic,2000000,0.032963229,60673667.62,0.0,0.0,2.1106725245507642e-05,0.7459614906190785,0.1468766653688352,0.10714073728684083
bandwidth,sequential,memory.bandwidth_gbps,6,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,6,4000000,4666845,0.8571101033,1.16671125,0.001333384286,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,50059381,78.059381,15.97639969,5.999770723,0.9999617872,1000000,0,0,190,2455478,1211177,3666845,0.7857224742,DRAM bandwidth,"DRAM is delivering 99% of its configured bandwidth, so requests are queueing behind the bus.",Increase memory.bandwidth_gbps; Reduce DRAM traffic by improving locality (blocking/tiling); Increase last-level cache capacity to filter traffic,2000000,0.048209731,41485400.53,0.0,0.0,4.071272990639286e-05,0.5261537505531039,0.2595280108938694,0.21427752582312032
bandwidth,sequential,memory.bandwidth_gbps,12,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,12,4000000,2333539,1.714134626,0.58338475,0.0006667254286,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,12637412,40.637412,15.91463095,11.99894238,0.9999118649,1000000,0,0,198,450537,882804,1333539,0.5714663436,DRAM bandwidth,"DRAM is delivering 99% of its configured bandwidth, so requests are queueing behind the bus.",Increase memory.bandwidth_gbps; Reduce DRAM traffic by improving locality (blocking/tiling); Increase last-level cache capacity to filter traffic,2000000,0.032563928,61417652.07,0.0,0.0,8.484966396533334e-05,0.19307026794923934,0.3783112259962229,0.42853365639057245
bandwidth,sequential,memory.bandwidth_gbps,25,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,25,4000000,1553264,2.575222242,0.388316,0.0004437897143,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,209484,28.209484,15.90810319,18.02655569,0.7210622277,1000000,0,0,190,4732,548342,553264,0.3561944396,Memory-level parallelism,Waiting for a free MSHR costs 35% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.033067007,60483248.45,0.0,0.0,0.0001223230564797742,0.0030464879119067975,0.3530256286117492,0.6438055604198643
bandwidth,sequential,memory.bandwidth_gbps,50,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.031371076,63752993.36,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
bandwidth,sequential,memory.bandwidth_gbps,100,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,100,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.1828387545,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.047110478,42453400.71,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
bandwidth,sequential,memory.bandwidth_gbps,200,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,200,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.09141937725,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.030989992,64536964.06,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
bandwidth,random_access,memory.bandwidth_gbps,3,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,3,10000000,69806332,0.1432534802,6.9806332,0.01994466629,1000000,0,1000000,4075,995925,0.004075,0,0,995925,61021,934904,0.06127067801,0,0,934904,0,59833856,0,932643168,1116.876988,15.99941805,2.999992837,0.9999976124,2500000,0,0,197,55614742,11691393,67306332,0.9641866299,DRAM bandwidth,"DRAM is delivering 99% of its configured bandwidth, so requests are queueing behind the bus.",Increase memory.bandwidth_gbps; Reduce DRAM traffic by improving locality (blocking/tiling); Increase last-level cache capacity to filter traffic,2000000,0.074185635,26959397.19,0.0,0.0,2.8220935602231614e-06,0.7967005342724497,0.1674832735803967,0.03581337005359342
bandwidth,random_access,memory.bandwidth_gbps,6,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,6,10000000,34903316,0.2865057291,3.4903316,0.009972376,1000000,0,1000000,4075,995925,0.004075,0,0,995925,61021,934904,0.06127067801,0,0,934904,0,59833856,0,374169656,558.403476,15.9981125,5.999959889,0.9999933149,2500000,0,0,205,21269603,11133508,32403316,0.9283735677,DRAM bandwidth,"DRAM is delivering 99% of its configured bandwidth, so requests are queueing behind the bus.",Increase memory.bandwidth_gbps; Reduce DRAM traffic by improving locality (blocking/tiling); Increase last-level cache capacity to filter traffic,2000000,0.072747069,27492516.57,0.0,0.0,5.8733674473794984e-06,0.6093863116043187,0.31898138274311816,0.07162643228511584
bandwidth,random_access,memory.bandwidth_gbps,12,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,12,10000000,17451764,0.5730079779,1.7451764,0.004986218286,1000000,0,1000000,4075,995925,0.004075,0,0,995925,61021,934904,0.06127067801,0,0,934904,0,59833856,0,94888440,279.12226,15.99299418,11.99984689,0.999987241,2500000,0,0,201,4896964,10054599,14951764,0.8567480055,DRAM bandwidth,"DRAM is delivering 99% of its configured bandwidth, so requests are queueing behind the bus.",Increase memory.bandwidth_gbps; Reduce DRAM traffic by improving locality (blocking/tiling); Increase last-level cache capacity to filter traffic,2000000,0.073147654,27341956.86,0.0,0.0,1.1517460355297035e-05,0.28059994393689947,0.5761365441338767,0.1432519944688686
